epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.3911,0.79288,1.6865,0.93903,0.73949,0.87299,0.82303,0.70718,0.57822,0.82826,0.85329,0.000415348,0.000415348,0.000415348
2,37.4201,0.67106,0.88394,0.89113,0.89361,0.92339,0.96202,0.85702,0.47221,0.57943,0.80931,0.000826523,0.000826523,0.000826523
3,53.1298,0.66387,0.78006,0.88196,0.90431,0.95922,0.97811,0.86453,0.48424,0.51565,0.82011,0.0012322,0.0012322,0.0012322
4,68.5768,0.6418,0.67981,0.87439,0.93111,0.98452,0.98332,0.87806,0.46205,0.47395,0.80626,0.00122525,0.00122525,0.00122525
5,84.509,0.59799,0.62198,0.86351,0.95157,0.97408,0.98353,0.8916,0.43515,0.41767,0.80974,0.001217,0.001217,0.001217
6,99.8398,0.58467,0.5691,0.85972,0.92834,0.96864,0.98496,0.87922,0.44759,0.42641,0.81207,0.00120875,0.00120875,0.00120875
7,115.589,0.57163,0.53957,0.85495,0.96972,0.98388,0.98714,0.89411,0.43214,0.37551,0.80004,0.0012005,0.0012005,0.0012005
8,131.398,0.56817,0.51938,0.85363,0.96077,0.96688,0.98362,0.90862,0.39839,0.37929,0.79585,0.00119225,0.00119225,0.00119225
9,147.057,0.5566,0.50736,0.85063,0.9277,0.92106,0.96682,0.8871,0.409,0.43008,0.79964,0.001184,0.001184,0.001184
10,162.227,0.54784,0.49456,0.84568,0.95898,0.9582,0.98561,0.90805,0.39756,0.36254,0.79488,0.00117575,0.00117575,0.00117575
11,176.845,0.53857,0.47491,0.85109,0.96705,0.98363,0.98485,0.91264,0.40263,0.3418,0.79519,0.0011675,0.0011675,0.0011675
12,191.592,0.53623,0.44695,0.84659,0.9671,0.98704,0.98419,0.91257,0.38995,0.32982,0.79168,0.00115925,0.00115925,0.00115925
